"customerkey","first_order_date","cohort_year","second_order_date","second_order_lag"
1315079,"2022-05-21","2022","2022-06-03",13
244565,"2022-03-23","2022","2023-06-01",435
1526930,"2020-02-11","2020","2023-01-16",1070
1270898,"2020-06-26","2020","2021-05-29",337
529607,"2021-11-30","2021","2022-12-12",377
1608798,"2021-12-04","2021","2022-06-21",199
1479709,"2021-12-25","2021","2022-01-12",18
1388079,"2021-12-26","2021","2022-09-02",250
1985980,"2020-07-17","2020","2022-05-09",661
852274,"2022-02-02","2022","2022-06-13",131
1708033,"2022-08-11","2022","2023-10-12",427
870872,"2020-01-02","2020","2021-11-30",698
216230,"2021-08-07","2021","2021-12-26",141
582522,"2020-01-25","2020","2022-12-19",1059
1579215,"2020-02-19","2020","2022-04-23",794
1231984,"2021-06-01","2021","2023-02-13",622
1992214,"2023-01-19","2023","2023-02-22",34
810947,"2022-12-01","2022","2023-11-09",343
1285362,"2022-02-09","2022","2022-10-05",238
7181,"2022-06-03","2022","2023-05-10",341
529933,"2022-12-24","2022","2023-12-27",368
1528670,"2021-09-09","2021","2022-03-30",202
2058603,"2020-06-09","2020","2021-06-08",364
689962,"2022-09-24","2022","2023-10-11",382
2095967,"2022-08-18","2022","2023-10-07",415
1958656,"2020-05-09","2020","2022-02-05",637
15917,"2023-03-20","2023","2023-09-20",184
283297,"2023-02-08","2023","2023-05-01",82
896714,"2022-06-04","2022","2022-09-22",110
1241020,"2023-04-19","2023","2023-10-13",177
2076131,"2020-01-16","2020","2020-12-18",337
234087,"2021-12-21","2021","2023-10-28",676
2008391,"2020-03-04","2020","2021-07-24",507
862869,"2021-08-28","2021","2022-08-21",358
2058904,"2021-07-01","2021","2023-11-02",854
1410471,"2022-06-06","2022","2022-06-23",17
1027054,"2023-01-11","2023","2023-12-16",339
2031057,"2021-01-14","2021","2023-06-14",881
421629,"2021-10-30","2021","2023-11-22",753
314194,"2022-10-28","2022","2023-12-12",410
326287,"2021-09-20","2021","2022-10-26",401
1688841,"2021-07-07","2021","2023-08-05",759
718945,"2022-12-15","2022","2023-12-02",352
805949,"2022-11-11","2022","2023-01-26",76
1649619,"2023-01-03","2023","2023-06-28",176
1889202,"2022-05-09","2022","2023-05-09",365
926315,"2021-05-20","2021","2023-12-21",945
1550140,"2023-08-17","2023","2023-12-02",107
451581,"2020-02-22","2020","2021-10-07",593
1486644,"2022-11-19","2022","2023-04-08",140
1938830,"2021-10-26","2021","2023-07-05",617
1330168,"2022-08-24","2022","2022-12-29",127
2009291,"2022-09-07","2022","2023-07-09",305
2001826,"2022-01-29","2022","2023-03-18",413
1725575,"2020-05-14","2020","2022-04-26",712
981739,"2022-07-12","2022","2022-09-27",77
66274,"2022-03-25","2022","2023-01-28",309
1989137,"2021-12-25","2021","2023-05-03",494
1369993,"2023-03-22","2023","2023-07-21",121
1945068,"2022-02-12","2022","2023-02-03",356
343035,"2021-10-23","2021","2023-05-08",562
1694063,"2021-08-09","2021","2023-11-21",834
1529007,"2021-11-03","2021","2022-05-05",183
1542699,"2021-12-24","2021","2022-11-09",320
402769,"2020-09-24","2020","2023-09-15",1086
2055844,"2021-10-04","2021","2023-02-24",508
1852944,"2021-10-06","2021","2022-08-18",316
1554959,"2022-06-30","2022","2023-05-10",314
358693,"2020-01-16","2020","2023-07-17",1278
1713672,"2021-10-14","2021","2021-11-24",41
524213,"2022-07-19","2022","2022-08-31",43
1512006,"2022-10-20","2022","2023-06-11",234
1356005,"2022-11-18","2022","2023-02-23",97
1875609,"2020-02-15","2020","2023-09-28",1321
1744855,"2022-07-21","2022","2022-09-08",49
326868,"2022-04-19","2022","2023-06-08",415
386221,"2020-02-01","2020","2023-12-23",1421
613330,"2023-06-29","2023","2023-09-23",86
543886,"2022-01-03","2022","2022-05-06",123
1912403,"2023-02-23","2023","2023-10-27",246
1843468,"2020-01-01","2020","2021-02-23",419
1394156,"2021-03-11","2021","2022-06-02",448
1967976,"2021-10-15","2021","2022-04-27",194
1984329,"2023-02-04","2023","2023-02-22",18
972141,"2020-01-30","2020","2020-10-24",268
1437331,"2023-02-22","2023","2023-12-14",295
902222,"2022-06-12","2022","2023-09-28",473
2046062,"2021-02-19","2021","2021-07-19",150
345697,"2021-09-01","2021","2023-05-27",633
1366183,"2021-02-25","2021","2022-08-31",552
318988,"2021-05-29","2021","2022-10-26",515
620801,"2020-01-20","2020","2022-08-20",943
310283,"2021-09-08","2021","2022-10-17",404
1503021,"2023-01-18","2023","2023-10-11",266
952625,"2020-10-31","2020","2023-11-24",1119
1896725,"2022-05-16","2022","2022-07-06",51
1469756,"2023-05-01","2023","2023-05-31",30
312687,"2021-02-20","2021","2022-01-03",317
1720626,"2022-04-30","2022","2023-08-25",482
985917,"2022-02-01","2022","2022-09-06",217
844969,"2021-07-21","2021","2023-05-17",665
1731826,"2021-11-27","2021","2022-07-13",228
1751363,"2022-04-21","2022","2023-05-24",398
1497700,"2022-02-11","2022","2022-09-26",227
1832634,"2023-02-23","2023","2023-11-03",253
354563,"2020-01-25","2020","2023-06-26",1248
1810805,"2022-08-13","2022","2023-06-08",299
1322735,"2020-04-29","2020","2021-05-29",395
2029624,"2022-08-11","2022","2023-05-11",273
1473911,"2021-06-29","2021","2022-01-08",193
855772,"2023-08-11","2023","2023-09-16",36
1765345,"2021-05-21","2021","2023-02-20",640
1597394,"2022-09-06","2022","2023-03-16",191
1006648,"2020-12-18","2020","2023-11-18",1065
227044,"2022-01-13","2022","2022-02-02",20
1567266,"2021-01-16","2021","2022-05-27",496
1289103,"2020-01-29","2020","2023-09-14",1324
1272466,"2021-06-26","2021","2023-01-04",557
1636508,"2022-11-12","2022","2022-12-15",33
1434008,"2022-10-17","2022","2023-08-25",312
2081198,"2022-12-16","2022","2023-08-30",257
540566,"2023-01-06","2023","2023-06-28",173
1291998,"2022-06-09","2022","2023-12-11",550
1613283,"2022-07-13","2022","2022-09-17",66
1001118,"2022-05-14","2022","2023-10-23",527
1265199,"2022-09-10","2022","2022-12-27",108
468727,"2021-12-29","2021","2023-02-25",423
642319,"2020-01-22","2020","2023-08-31",1317
846784,"2023-02-11","2023","2023-06-06",115
1222571,"2021-09-18","2021","2023-01-29",498
521709,"2022-02-18","2022","2023-06-10",477
1242796,"2022-08-19","2022","2023-11-21",459
628928,"2022-02-07","2022","2023-08-26",565
1367753,"2020-06-15","2020","2022-04-20",674
1559358,"2020-02-12","2020","2020-04-17",65
823444,"2023-01-24","2023","2023-03-12",47
1535978,"2020-05-12","2020","2023-06-15",1129
1852338,"2022-11-10","2022","2023-03-07",117
1419546,"2022-01-16","2022","2022-07-16",181
964774,"2021-02-21","2021","2021-12-01",283
1526629,"2021-10-23","2021","2022-01-14",83
1028246,"2022-03-18","2022","2022-04-27",40
1187775,"2022-09-12","2022","2023-04-26",226
526773,"2022-08-10","2022","2022-11-18",100
820413,"2021-03-18","2021","2022-11-18",610
1249144,"2022-10-28","2022","2022-12-22",55
591915,"2022-10-27","2022","2022-12-08",42
413815,"2022-12-10","2022","2023-08-05",238
1471199,"2021-06-05","2021","2022-05-28",357
2061372,"2022-06-15","2022","2022-11-17",155
1619018,"2022-05-13","2022","2023-04-15",337
638051,"2021-07-06","2021","2022-07-08",367
258288,"2021-10-23","2021","2023-08-25",671
134162,"2023-03-01","2023","2023-04-20",50
314663,"2021-07-17","2021","2022-02-25",223
294929,"2020-08-22","2020","2022-10-26",795
431787,"2021-05-01","2021","2021-07-24",84
559895,"2022-01-17","2022","2023-06-15",514
1276444,"2022-01-12","2022","2022-08-29",229
37985,"2021-08-03","2021","2023-03-22",596
596143,"2022-09-12","2022","2022-10-13",31
205180,"2022-08-25","2022","2022-08-27",2
75616,"2021-02-20","2021","2021-06-09",109
1136511,"2022-10-31","2022","2023-12-29",424
1485074,"2021-06-16","2021","2022-06-15",364
1612236,"2022-06-07","2022","2023-02-01",239
309123,"2022-08-31","2022","2023-04-05",217
2008925,"2023-01-06","2023","2023-07-10",185
1963533,"2020-02-23","2020","2022-03-12",748
1771180,"2021-07-02","2021","2023-05-20",687
1483497,"2022-07-16","2022","2022-11-12",119
1545214,"2021-05-13","2021","2021-10-05",145
229032,"2022-02-10","2022","2022-09-13",215
2036574,"2022-09-09","2022","2023-12-16",463
559813,"2023-01-28","2023","2023-03-13",44
1291565,"2020-03-05","2020","2022-10-08",947
1402285,"2021-06-09","2021","2023-08-10",792
539379,"2022-10-21","2022","2023-07-13",265
1726620,"2022-06-16","2022","2022-09-03",79
1949384,"2021-07-15","2021","2021-12-24",162
279596,"2022-02-25","2022","2023-05-19",448
1331224,"2020-02-27","2020","2023-02-02",1071
661900,"2020-02-22","2020","2022-07-21",880
1417583,"2021-09-13","2021","2022-08-10",331
1379468,"2021-11-05","2021","2022-06-18",225
899256,"2022-07-05","2022","2023-10-21",473
331538,"2021-02-12","2021","2023-05-10",817
343724,"2021-02-18","2021","2021-10-23",247
329204,"2020-01-14","2020","2022-06-28",896
473695,"2020-02-20","2020","2023-01-24",1069
308328,"2021-04-28","2021","2022-03-04",310
1360182,"2022-01-05","2022","2023-07-24",565
1996848,"2022-05-24","2022","2023-08-26",459
1901310,"2023-08-19","2023","2023-11-22",95
1445006,"2021-03-11","2021","2022-03-15",369
397148,"2020-01-09","2020","2022-08-12",946
444837,"2022-12-28","2022","2023-12-19",356
2047141,"2021-12-05","2021","2023-11-17",712
48269,"2023-03-16","2023","2023-11-09",238
1658836,"2021-10-04","2021","2022-02-19",138
258319,"2021-07-23","2021","2021-11-17",117
583597,"2020-03-11","2020","2022-12-06",1000
1972959,"2021-12-23","2021","2023-11-18",695
1658536,"2021-08-27","2021","2023-12-07",832
1694440,"2023-03-09","2023","2023-04-21",43
1947558,"2022-06-21","2022","2023-03-09",261
286231,"2022-10-05","2022","2023-02-28",146
530304,"2023-07-15","2023","2023-10-11",88
1953995,"2021-07-02","2021","2022-05-21",323
1277909,"2021-10-09","2021","2023-10-25",746
386894,"2020-03-10","2020","2021-03-23",378
783067,"2022-05-25","2022","2022-09-06",104
2059611,"2022-05-09","2022","2022-06-01",23
257757,"2022-07-14","2022","2023-06-21",342
1867088,"2020-03-14","2020","2023-12-18",1374
438740,"2023-05-10","2023","2023-06-15",36
1217937,"2020-01-30","2020","2023-02-01",1098
1195055,"2022-01-26","2022","2022-09-27",244
1620923,"2020-01-29","2020","2023-04-02",1159
1265545,"2020-02-11","2020","2020-07-22",162
228988,"2020-01-15","2020","2022-08-10",938
1175880,"2021-07-23","2021","2022-09-21",425
1801325,"2021-10-28","2021","2022-08-20",296
2067988,"2022-02-25","2022","2022-12-30",308
2088300,"2023-07-14","2023","2023-08-02",19
2049082,"2021-04-08","2021","2022-06-25",443
1443628,"2020-04-25","2020","2021-10-12",535
226056,"2022-10-06","2022","2023-09-09",338
450038,"2020-01-02","2020","2021-07-29",574
1280240,"2020-03-02","2020","2022-07-23",873
582224,"2020-01-10","2020","2022-08-05",938
1837419,"2021-12-10","2021","2022-03-01",81
1952950,"2022-02-22","2022","2022-04-26",63
495309,"2020-02-22","2020","2023-02-11",1085
1813961,"2023-01-03","2023","2023-03-01",57
463627,"2023-06-02","2023","2023-07-07",35
1486270,"2021-06-16","2021","2022-07-09",388
1563463,"2023-06-08","2023","2023-08-08",61
2006260,"2020-03-07","2020","2021-06-28",478
391867,"2020-06-05","2020","2020-07-12",37
270540,"2021-02-05","2021","2022-06-30",510
1592657,"2021-12-06","2021","2022-10-29",327
2057880,"2020-02-19","2020","2023-11-14",1364
256249,"2021-11-20","2021","2021-12-07",17
293537,"2021-07-31","2021","2022-09-03",399
1298860,"2021-06-05","2021","2022-04-25",324
1739814,"2022-11-29","2022","2023-09-06",281
1978795,"2022-02-25","2022","2022-10-25",242
792270,"2021-12-15","2021","2022-09-09",268
1727742,"2021-05-15","2021","2023-06-22",768
62905,"2021-05-25","2021","2023-07-27",793
1835732,"2022-02-21","2022","2022-12-14",296
1478883,"2022-02-24","2022","2022-09-15",203
699074,"2020-12-11","2020","2022-01-03",388
1781884,"2022-01-18","2022","2023-01-31",378
886372,"2022-11-19","2022","2022-12-01",12
358086,"2021-05-21","2021","2022-10-31",528
1564701,"2022-02-21","2022","2022-08-13",173
427259,"2020-10-28","2020","2022-01-27",456
1439115,"2020-03-12","2020","2023-01-02",1026
285813,"2022-09-26","2022","2023-02-27",154
1942380,"2020-01-15","2020","2021-07-03",535
1589942,"2023-09-07","2023","2023-09-11",4
894977,"2022-04-13","2022","2023-06-22",435
374565,"2023-03-11","2023","2023-06-24",105
2030241,"2022-06-16","2022","2022-09-20",96
27868,"2021-11-26","2021","2023-01-11",411
1105984,"2023-08-25","2023","2023-12-27",124
1661544,"2020-03-04","2020","2022-04-20",777
1218664,"2022-05-20","2022","2022-11-05",169
582046,"2023-05-04","2023","2023-08-19",107
1962040,"2022-01-03","2022","2023-12-30",726
742602,"2020-01-10","2020","2023-08-15",1313
567116,"2020-01-21","2020","2021-11-18",667
1335299,"2022-09-27","2022","2023-01-21",116
429793,"2020-03-11","2020","2021-11-25",624
2079575,"2021-08-24","2021","2021-12-09",107
1815422,"2022-01-06","2022","2022-06-11",156
659776,"2021-06-12","2021","2022-07-09",392
112431,"2022-03-12","2022","2022-09-08",180
1585744,"2021-06-24","2021","2022-12-30",554
1965913,"2020-05-09","2020","2022-12-21",956
1749521,"2022-11-09","2022","2023-07-13",246
896447,"2023-09-22","2023","2023-10-14",22
1361789,"2021-09-10","2021","2022-08-17",341
1319387,"2021-02-16","2021","2022-03-09",386
537206,"2021-05-01","2021","2022-04-05",339
1776611,"2022-01-24","2022","2023-02-23",395
478163,"2020-08-14","2020","2023-03-04",932
496371,"2021-08-04","2021","2022-08-09",370
1093315,"2021-12-04","2021","2022-01-06",33
1918989,"2022-05-05","2022","2022-11-24",203
1331127,"2021-10-16","2021","2022-12-24",434
1658696,"2022-06-11","2022","2023-03-23",285
830446,"2021-06-21","2021","2022-03-10",262
440325,"2022-06-25","2022","2023-07-15",385
921519,"2020-11-26","2020","2023-02-28",824
785902,"2021-10-06","2021","2022-07-11",278
708344,"2021-03-13","2021","2021-11-03",235
1380056,"2023-02-16","2023","2023-07-22",156
1360320,"2022-09-17","2022","2023-06-15",271
19420,"2021-05-13","2021","2023-05-04",721
1838654,"2021-06-25","2021","2022-08-09",410
1026898,"2020-02-18","2020","2023-09-30",1320
1872355,"2022-02-18","2022","2022-07-13",145
315331,"2022-08-13","2022","2023-02-23",194
1993418,"2022-06-11","2022","2023-02-17",251
1303394,"2022-01-29","2022","2022-12-24",329
108678,"2020-02-17","2020","2022-06-23",857
1456771,"2022-10-15","2022","2022-10-20",5
18374,"2022-05-21","2022","2022-10-15",147
1786563,"2022-01-14","2022","2023-07-05",537
1773709,"2022-12-08","2022","2023-10-09",305
2089610,"2022-06-01","2022","2022-08-02",62
1261126,"2022-07-04","2022","2022-11-24",143
378250,"2021-12-09","2021","2023-10-05",665
1399526,"2021-03-19","2021","2023-01-03",655
600253,"2023-02-01","2023","2023-07-10",159
1268481,"2020-04-30","2020","2022-07-21",812
1951195,"2022-05-03","2022","2022-07-25",83
181630,"2022-08-06","2022","2023-05-01",268
470399,"2021-07-07","2021","2023-07-07",730
929586,"2020-02-08","2020","2022-08-04",908
506387,"2022-12-08","2022","2023-02-07",61
2013084,"2022-09-17","2022","2023-12-23",462
1857960,"2020-07-02","2020","2022-10-28",848
1859681,"2022-09-16","2022","2023-02-02",139
1889245,"2022-01-06","2022","2023-09-28",630
599609,"2022-08-06","2022","2023-09-07",397
339105,"2021-02-25","2021","2022-03-09",377
1112742,"2022-04-30","2022","2022-07-04",65
142170,"2021-12-03","2021","2023-06-02",546
282714,"2020-06-23","2020","2022-01-24",580
1756449,"2023-03-26","2023","2023-04-22",27
1817540,"2022-06-11","2022","2023-02-10",244
134126,"2021-06-14","2021","2021-09-29",107
324254,"2022-06-26","2022","2022-11-29",156
1523906,"2022-05-13","2022","2022-06-25",43
1508240,"2020-12-22","2020","2022-07-22",577
1349714,"2022-05-25","2022","2023-02-25",276
563754,"2021-09-23","2021","2022-08-19",330
1216285,"2022-01-19","2022","2022-02-23",35
1882379,"2021-08-27","2021","2022-02-14",171
1104982,"2020-02-07","2020","2023-07-04",1243
1233943,"2021-08-13","2021","2023-05-15",640
68385,"2022-12-23","2022","2023-11-29",341
1850716,"2020-05-13","2020","2022-07-29",807
645933,"2021-10-04","2021","2022-09-13",344
1071161,"2021-11-25","2021","2023-09-18",662
210853,"2021-08-20","2021","2022-10-14",420
1944142,"2021-10-15","2021","2022-05-12",209
1769825,"2022-01-21","2022","2023-12-13",691
1751695,"2021-04-19","2021","2021-09-13",147
511979,"2021-06-24","2021","2022-06-07",348
1643167,"2022-05-11","2022","2022-11-14",187
183716,"2022-02-09","2022","2023-03-03",387
1982671,"2021-12-18","2021","2023-09-25",646
1992251,"2022-10-08","2022","2022-12-03",56
1463359,"2021-12-18","2021","2022-03-14",86
1493995,"2020-02-18","2020","2021-09-15",575
254130,"2021-02-22","2021","2023-02-15",723
1970810,"2022-10-12","2022","2023-12-26",440
1087142,"2022-10-22","2022","2023-07-29",280
1491204,"2023-03-02","2023","2023-03-07",5
881539,"2022-09-19","2022","2022-11-25",67
1666847,"2021-10-28","2021","2021-11-10",13
253921,"2022-01-19","2022","2022-11-05",290
521408,"2020-01-25","2020","2022-01-14",720
1380935,"2021-12-15","2021","2022-09-18",277
321805,"2021-07-30","2021","2023-08-21",752
160257,"2023-02-26","2023","2023-10-11",227
1111641,"2020-02-11","2020","2023-06-10",1215
812757,"2021-05-04","2021","2022-03-23",323
1540742,"2020-05-28","2020","2022-10-13",868
844799,"2020-04-30","2020","2021-07-20",446
1818622,"2022-07-27","2022","2023-02-02",190
1413265,"2020-01-01","2020","2022-01-27",757
281118,"2023-06-26","2023","2023-11-02",129
383538,"2020-05-15","2020","2022-02-15",641
591394,"2022-07-13","2022","2023-06-29",351
576619,"2022-08-10","2022","2022-08-25",15
1295642,"2021-12-31","2021","2022-02-16",47
1546202,"2020-02-28","2020","2022-01-28",700
2097171,"2022-02-12","2022","2023-05-03",445
231547,"2021-09-04","2021","2022-06-25",294
44549,"2020-01-11","2020","2023-11-13",1402
815386,"2023-05-23","2023","2023-06-21",29
441891,"2022-08-30","2022","2023-11-14",441
1851238,"2021-12-28","2021","2023-05-16",504
411268,"2020-01-18","2020","2020-03-26",68
1985684,"2021-11-24","2021","2023-06-29",582
809928,"2021-10-20","2021","2022-05-28",220
1947365,"2022-10-29","2022","2023-08-02",277
572034,"2022-04-04","2022","2022-05-12",38
1709841,"2021-12-18","2021","2023-06-29",558
303647,"2022-01-31","2022","2023-05-18",472
466248,"2022-03-05","2022","2023-09-27",571
1008893,"2021-09-14","2021","2022-08-17",337
864156,"2022-01-15","2022","2022-05-19",124
1190907,"2022-01-27","2022","2022-05-18",111
1393685,"2023-01-25","2023","2023-02-14",20
881402,"2021-07-30","2021","2022-10-24",451
1491049,"2022-02-17","2022","2022-03-01",12
439515,"2022-08-20","2022","2023-01-04",137
258889,"2021-08-24","2021","2023-11-28",826
1590217,"2021-09-06","2021","2022-05-12",248
649467,"2020-05-22","2020","2022-10-26",887
1792947,"2022-07-02","2022","2022-10-12",102
378680,"2020-02-19","2020","2022-01-12",693
1492757,"2020-07-10","2020","2022-08-12",763
2080444,"2023-02-15","2023","2023-10-05",232
918925,"2021-05-12","2021","2021-11-11",183
1748721,"2021-09-20","2021","2021-12-13",84
1703335,"2022-06-24","2022","2022-11-16",145
493748,"2020-11-10","2020","2023-02-25",837
1298035,"2022-03-23","2022","2023-03-10",352
835796,"2022-10-01","2022","2022-11-24",54
1315081,"2021-02-20","2021","2022-10-01",588
1310765,"2022-11-30","2022","2023-05-27",178
1733141,"2021-08-16","2021","2021-10-01",46
670434,"2022-10-21","2022","2023-08-29",312
1130884,"2022-02-24","2022","2022-07-19",145
1516701,"2022-08-29","2022","2023-05-13",257
225939,"2022-02-26","2022","2022-11-16",263
480704,"2020-06-09","2020","2023-11-16",1255
976085,"2020-04-24","2020","2021-09-16",510
401036,"2023-09-25","2023","2023-12-06",72
1839543,"2021-05-20","2021","2021-11-27",191
1080631,"2022-02-18","2022","2023-01-13",329
476754,"2021-12-27","2021","2023-02-27",427
1535334,"2022-05-12","2022","2022-08-31",111
1580462,"2022-10-24","2022","2023-10-14",355
2013877,"2020-10-29","2020","2022-10-22",723
1274370,"2021-01-20","2021","2023-04-25",825
1580354,"2022-10-26","2022","2023-11-23",393
1126389,"2021-06-09","2021","2023-01-11",581
2056835,"2023-05-16","2023","2023-10-07",144
602962,"2021-12-07","2021","2022-07-08",213
1381570,"2020-01-29","2020","2022-03-31",792
466259,"2022-06-08","2022","2022-09-17",101
38637,"2021-06-08","2021","2022-10-27",506
1301163,"2021-05-14","2021","2023-01-31",627
1995399,"2022-08-19","2022","2023-04-27",251
875764,"2020-09-10","2020","2021-10-02",387
2071341,"2021-07-10","2021","2023-03-04",602
517679,"2022-08-13","2022","2022-08-16",3
1394969,"2022-02-14","2022","2023-04-22",432
1961570,"2022-07-23","2022","2022-11-12",112
1602152,"2022-05-30","2022","2022-05-31",1
322753,"2022-09-10","2022","2022-11-05",56
135026,"2022-08-30","2022","2023-12-08",465
1435568,"2022-08-02","2022","2022-09-16",45
1485233,"2022-01-27","2022","2022-09-01",217
319908,"2020-01-02","2020","2023-03-29",1182
133082,"2022-01-24","2022","2022-06-30",157
1123923,"2021-11-10","2021","2022-10-22",346
15008,"2020-11-09","2020","2022-06-22",590
1299652,"2021-10-30","2021","2023-03-13",499
1762057,"2022-12-23","2022","2023-02-28",67
1705962,"2022-08-13","2022","2023-05-21",281
1520719,"2022-08-20","2022","2022-12-26",128
2084083,"2022-06-15","2022","2022-09-16",93
1786433,"2021-10-19","2021","2023-02-13",482
254853,"2021-06-16","2021","2023-07-19",763
1715613,"2022-10-21","2022","2023-03-15",145
1582723,"2022-02-16","2022","2022-03-08",20
1530358,"2021-02-27","2021","2023-07-28",881
801401,"2021-07-22","2021","2023-06-28",706
1891230,"2021-07-24","2021","2023-12-27",886
1845374,"2021-01-28","2021","2022-12-23",694
1403067,"2021-09-18","2021","2022-12-10",448
1807367,"2021-12-29","2021","2022-04-22",114
1957564,"2022-12-03","2022","2022-12-07",4
432977,"2020-12-24","2020","2023-05-10",867
1912508,"2021-10-16","2021","2022-08-11",299
797647,"2021-12-15","2021","2022-09-02",261
1911958,"2020-09-01","2020","2021-07-22",324
889700,"2020-01-27","2020","2022-03-03",766
263369,"2021-06-28","2021","2023-12-20",905
1193702,"2022-08-05","2022","2022-12-03",120
309366,"2022-05-06","2022","2023-12-28",601
43675,"2020-02-12","2020","2023-06-16",1220
28943,"2021-09-16","2021","2022-02-02",139
466543,"2020-11-07","2020","2023-12-20",1138
1473131,"2022-12-03","2022","2023-12-09",371
590385,"2020-05-07","2020","2021-12-16",588
15993,"2020-02-21","2020","2022-07-21",881
674563,"2022-02-19","2022","2022-10-12",235
1653790,"2020-05-21","2020","2021-10-18",515
839298,"2021-08-04","2021","2021-11-04",92
1076518,"2022-06-08","2022","2022-08-04",57
580060,"2022-03-12","2022","2022-10-18",220
290336,"2021-09-27","2021","2022-05-31",246
210735,"2021-09-22","2021","2022-02-22",153
450915,"2020-01-11","2020","2022-07-05",906
243809,"2020-04-30","2020","2022-03-17",686
1870111,"2022-02-16","2022","2023-09-16",577
318291,"2022-03-02","2022","2023-07-08",493
609689,"2023-08-26","2023","2023-11-01",67
2066875,"2022-09-07","2022","2022-12-22",106
117467,"2022-05-04","2022","2022-12-22",232
479004,"2020-02-11","2020","2022-09-13",945
1904920,"2023-03-02","2023","2023-04-27",56
1736517,"2021-10-06","2021","2023-02-16",498
228259,"2021-09-27","2021","2023-06-07",618
697023,"2021-11-16","2021","2022-02-11",87
1640950,"2021-09-02","2021","2022-12-14",468
700331,"2021-09-30","2021","2023-09-22",722
1421592,"2020-06-05","2020","2023-03-05",1003
1793339,"2020-02-24","2020","2022-05-09",805
1799423,"2020-05-21","2020","2022-02-18",638
566577,"2021-06-15","2021","2022-05-19",338
807708,"2021-10-28","2021","2023-12-27",790
1429953,"2022-02-15","2022","2022-08-11",177
516997,"2021-11-30","2021","2022-07-02",214
450425,"2022-03-26","2022","2022-06-11",77
1426791,"2023-09-22","2023","2023-12-06",75
341434,"2021-10-18","2021","2022-07-07",262
523372,"2022-03-21","2022","2023-11-01",590
2047747,"2022-09-06","2022","2023-12-30",480
1942154,"2022-01-11","2022","2023-07-17",552
548808,"2022-05-18","2022","2023-01-14",241
137956,"2021-04-26","2021","2023-05-26",760
1893314,"2022-05-10","2022","2023-06-07",393
802557,"2022-08-15","2022","2022-09-07",23
417571,"2023-06-22","2023","2023-09-26",96
1973143,"2023-06-28","2023","2023-08-18",51
1992346,"2020-06-18","2020","2021-04-21",307
1898017,"2022-08-20","2022","2022-11-01",73
474766,"2022-06-18","2022","2022-09-21",95
1833197,"2022-06-06","2022","2023-04-27",325
830923,"2023-02-04","2023","2023-02-21",17
194618,"2022-04-07","2022","2023-03-02",329
411655,"2021-07-22","2021","2021-10-21",91
855583,"2023-06-10","2023","2023-12-13",186
1937516,"2022-04-28","2022","2022-11-05",191
1704457,"2021-12-25","2021","2022-06-20",177
1859344,"2022-03-09","2022","2023-10-05",575
1770714,"2021-02-25","2021","2022-01-25",334
1935177,"2020-02-15","2020","2022-06-23",859
1550718,"2022-02-17","2022","2022-04-29",71
2010950,"2021-07-10","2021","2023-04-29",658
292837,"2021-11-26","2021","2022-02-18",84
218828,"2022-06-02","2022","2023-01-16",228
357411,"2022-07-16","2022","2022-12-10",147
1788717,"2020-02-22","2020","2021-03-22",394
1591818,"2023-02-22","2023","2023-11-28",279
837799,"2020-01-29","2020","2022-07-25",908
311861,"2022-05-23","2022","2022-11-10",171
1998488,"2020-03-04","2020","2022-08-13",892
508311,"2022-02-01","2022","2023-02-20",384
1521705,"2021-10-07","2021","2023-03-10",519
577685,"2020-01-31","2020","2022-01-22",722
1995146,"2020-02-01","2020","2023-01-20",1084
987730,"2022-07-13","2022","2022-10-27",106
311475,"2022-12-29","2022","2023-01-10",12
322191,"2022-02-17","2022","2022-12-02",288
1328806,"2023-05-16","2023","2023-12-28",226
1919837,"2023-02-21","2023","2023-02-25",4
1786867,"2022-10-29","2022","2023-08-19",294
886913,"2020-05-16","2020","2022-03-13",666
162486,"2022-07-28","2022","2023-06-24",331
1089336,"2022-12-10","2022","2023-12-11",366
376577,"2020-06-11","2020","2022-11-23",895
1977790,"2020-01-15","2020","2022-10-20",1009
1570396,"2021-06-03","2021","2022-06-29",391
520803,"2021-12-30","2021","2023-02-21",418
1742651,"2020-03-04","2020","2023-07-08",1221
1935465,"2022-07-16","2022","2023-08-20",400
315677,"2023-01-21","2023","2023-02-01",11
1378306,"2020-05-16","2020","2023-07-19",1159
284492,"2020-02-08","2020","2022-06-15",858
494375,"2022-07-23","2022","2022-12-07",137
325260,"2021-07-13","2021","2022-06-02",324
1316794,"2023-02-20","2023","2023-06-17",117
1097950,"2021-12-08","2021","2022-08-30",265
2046270,"2021-12-14","2021","2021-12-15",1
1260688,"2022-11-10","2022","2023-01-24",75
92481,"2022-11-16","2022","2023-07-15",241
1829874,"2022-08-25","2022","2023-03-21",208
366852,"2021-09-14","2021","2022-11-17",429
29895,"2023-01-12","2023","2023-12-26",348
1232972,"2020-02-01","2020","2021-10-06",613
399648,"2023-01-10","2023","2023-10-07",270
1513839,"2022-07-11","2022","2022-09-14",65
1620747,"2020-02-26","2020","2023-03-08",1106
1889103,"2022-01-20","2022","2023-10-13",631
826329,"2022-09-22","2022","2023-08-19",331
1949465,"2022-07-23","2022","2022-12-28",158
344837,"2022-11-02","2022","2023-06-01",211
262416,"2022-07-11","2022","2022-11-10",122
